,data_index,cluster,centroid,c
0,1,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
1,2,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
2,3,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
3,4,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
4,5,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
5,6,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
6,7,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
7,8,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
8,9,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
9,10,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
10,11,0,"[0.2207950083583735, -0.23885404012076217]",#DF2020
11,12,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
12,13,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
13,14,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
14,15,1,"[0.22386850719591497, 0.23599166634563504]",#2095DF
